Дни недели;Часы звонков;1 курс;;;;;;;;;;;;;;;;;2 курс;;;;;;;;;;;;;;;;;;3 курс;;;;;;;;;;;;;;4 курс;;;;;;;;;;;;
;;1 группа;;2 группа;;3 группа;;4 группа;;5 группа;;6 группа;7 группа;;8 группа;;9 группа;;1 группа;;2 группа;;3 группа;;4 группа;;5 группа;;6 группа;;7 группа;;8 группа;;9 группа;;1 группа;2 группа;;3 группа;;4 группа;5 группа;;6 группа;;7 группа;;8 группа;;1 группа;2 группа;;3 группа;;4 группа;5 группа;;6 группа;;7 группа;;
Понедельник;800-935;Алг. и геом., 505П;Алг. и геом., 505П;;;ТФКП, 305П;ТФКП, 305П;;;;;АиСД, Л2;Практ. прог, Л8;;Аналитическая геометрия, 478;Аналитическая геометрия, 478;Аналитическая геометрия, 478;Аналитическая геометрия, 478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Алг. и геом., 505П;Алг. и геом., 505П;;;ТФКП, 305П;ТФКП, 305П;;;;;АиСД, Л2;;Практ. прог, Л8;Аналитическая геометрия, 478;Аналитическая геометрия, 478;Аналитическая геометрия, 478;Аналитическая геометрия, 478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;945-1120;АиСД, 291;;;;Web-тех., Л3;;;;Язык С, Л2;Язык С, Л2;Алг. и геом., 307П;Прогр-ие, 293;Прогр-ие, 293;Ин. Яз, 308П;;Аналитическая геометрия, 380;Аналитическая геометрия, 380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;АиСД, 291;;;;;Web-тех, Л3;Web-тех, Л3;Язык С, Л2;Язык С, Л2;Алг. и геом., 307П;Прогр-ие, 293;Прогр-ие, 293;Ин. Яз, 308П;;Аналитическая геометрия, 380;Аналитическая геометрия, 380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1130-1305;ТФКП, 305П;ТФКП, 305П;Ин. Яз, 308П;;Язык С, Л5;Язык С, Л5;Ин. Яз, 308П;МЛ и ТА, Л7;МЛ и ТА, Л7;МЛ и ТА, Л7;;;;Аналитическая геометрия, 380;Аналитическая геометрия, 380;;Совр. ТП, Л1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;ТФКП, 305П;ТФКП, 305П;;Ин. Яз, 308П;АиСД, Л4;Язык С, Л5;Ин. Яз, 308П;МЛ и ТА, Л6;;;;Прогр-ие, 297;Прогр-ие, 297;Аналитическая геометрия, 380;Аналитическая геометрия, 380;Совр. ТП, Л1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1325-1500;;Язык С, Л4;;;Язык С, Л4;;Ин. Яз, 308П;;;;;Алг. и геом., 306П;Алг. и геом., 306П;Совр. ТП, 291;Совр. ТП, 291;Ин. Яз, 308П;Ин. Яз, 308П;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;АиСД, Л2;;;;;;;Алг. и геом., 306П;Алг. и геом., 306П;Ин. Яз, 308П;Ин. Яз, 308П;Совр. ТП, 291;Совр. ТП, 291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1510-1645;Арх. ЭВМ, 479;Арх. ЭВМ, 479;Арх. ЭВМ, 479;Арх. ЭВМ, 479;Арх. ЭВМ, 479;Арх. ЭВМ, 479;Арх. ЭВМ, 479;Арх. ВС, 479;АиСД, 505П;АиСД, 505П;АиСД, 505П;;;Матанализ, 477;Матанализ, 477;Матанализ, 477;Матанализ, 477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Арх. ЭВМ, 479;Арх. ЭВМ, 479;Арх. ЭВМ, 479;Арх. ЭВМ, 479;Арх. ЭВМ, 479;Арх. ЭВМ, 479;Арх. ЭВМ, 479;Арх. ВС, 479;АиСД, 505П;АиСД, 505П;АиСД, 505П;;;Матанализ, 477;Матанализ, 477;Матанализ, 477;Матанализ, 477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
